,Data,Cota,Variação,fund_id,PL
412,2013-10-24,1.2970983,-0.0006924515,26,6864806.02
413,2013-10-25,1.2951691,-0.0014873198,26,6854595.6
414,2013-10-28,1.2879836,-0.0055479242,26,6816566.85
415,2013-10-29,1.2898873,0.0014780468,26,6826642.22
416,2013-10-30,1.2856707,-0.0032689678,26,6804326.38
417,2013-10-31,1.2872422,0.0012223192,26,6812643.22
418,2013-11-01,1.2984712,0.0087233001,26,6872071.83
419,2013-11-04,1.2881275,-0.0079660604,26,6817328.83
420,2013-11-05,1.3035062,0.0119388026,26,6948719.59
421,2013-11-06,1.3071487,0.0027943864,26,6968136.68
422,2013-11-07,1.3346655,0.0210510097,26,7114823.2
423,2013-11-08,1.3422928,0.0057147652,26,7155482.44
424,2013-11-11,1.3546841,0.0092314434,26,7221538.03
425,2013-11-12,1.3436865,-0.0081182026,26,7162912.45
426,2013-11-13,1.3393792,-0.003205584,26,7139950.92
427,2013-11-14,1.3186017,-0.0155127838,26,7029190.16
428,2013-11-18,1.278526,-0.0303925742,26,6815555.03
429,2013-11-19,1.2772512,-0.0009970857,26,6808759.51
430,2013-11-20,1.2776,0.0002730865,26,6810618.77
431,2013-11-21,1.3077908,0.0236308704,26,6971559.56
432,2013-11-22,1.2958478,-0.0091321945,26,6907893.93
433,2013-11-25,1.2971069,0.0009716419,26,6914606.0
434,2013-11-26,1.3019457,0.0037304558,26,6940400.56
435,2013-11-27,1.3041829,0.0017183512,26,6952326.81
436,2013-11-28,1.2721793,-0.0245391962,26,6781722.42
437,2013-11-29,1.2785425,0.0050018107,26,6783758.46
438,2013-12-02,1.2902786,0.0091792803,26,6846028.42
439,2013-12-03,1.3018432,0.0089628705,26,6907388.77
440,2013-12-04,1.3054424,0.0027646955,26,6926485.21
441,2013-12-05,1.2936966,-0.0089975628,26,6864164.1
442,2013-12-06,1.2746751,-0.0147032156,26,6763238.4
443,2013-12-09,1.2750355,0.0002827387,26,6765151.02
444,2013-12-10,1.2727898,-0.0017612843,26,6753235.35
445,2013-12-11,1.287923,0.0118897873,26,6833530.05
446,2013-12-12,1.2979762,0.0078057462,26,6886870.7
447,2013-12-13,1.2904975,-0.005761816,26,6847189.92
448,2013-12-16,1.2920477,0.0012012422,26,6855415.26
449,2013-12-17,1.2899277,-0.0016408063,26,6844166.74
450,2013-12-18,1.3016928,0.0091207437,26,6906590.76
451,2013-12-19,1.2995197,-0.0016694415,26,6945060.33
452,2013-12-20,1.3024694,0.0022698386,26,6960824.45
453,2013-12-23,1.2982231,-0.0032601918,26,6938131.08
454,2013-12-24,1.2986339,0.0003164325,26,6940326.5
455,2013-12-26,1.2940411,-0.0035366395,26,6915781.08
456,2013-12-27,1.2882428,-0.0044807696,26,6884793.14
457,2013-12-30,1.2958555,0.0059093674,26,6925477.56
458,2013-12-31,1.2962584,0.0003109143,26,6927630.99
459,2014-01-02,1.3178432,0.0166516182,26,7042987.22
